Disease,Drug Targets,Disease genes,Z-score,amspl,p_value_st,p_value_dt,mu,sigma
inflammation,9,611,-6.150118308964571,0.4444444444444444,0.0,1.0,1.3610333333333335,0.14903597668240715
coronary artery disease,9,1110,-4.167135206314268,0.5555555555555556,0.0001,0.9999,1.232311111111111,0.1624030711866749
coronary heart disease,9,374,-5.459984084143755,0.6666666666666666,0.0,1.0,1.5228444444444444,0.15680957390776815
lung neoplasms,9,463,-0.19714172698458277,1.3333333333333333,0.5897,0.7231,1.3612666666666664,0.14169163352980893
breast neoplasms,9,1324,-1.9619808253184994,0.8888888888888888,0.0552,0.9892,1.1689444444444446,0.14274122964993438
brain neoplasms,9,42,-1.180207867026079,1.6666666666666667,0.2156,0.9459,1.8183666666666667,0.1285366792057215
COPD,9,507,-2.588539987001391,1.0,0.0137,0.9981,1.4035444444444443,0.15589654649759419
alpha-Thalassemia,9,37,0.6690873253492337,2.0,0.8858,0.4435,1.9206222222222222,0.11863590113046323
hypertension,9,866,-3.470183864501388,0.7777777777777778,0.0018,0.9998,1.353922222222222,0.16602706569475315
pancreatic neoplasms,9,101,0.5158333321284053,1.7777777777777777,0.82,0.4609,1.703888888888889,0.14324178816442917
Rett_syndrome,9,52,-0.9162989576647861,1.7777777777777777,0.29,0.9089,1.897788888888889,0.1309737505507624
RubinsteinTaybi_syndrome,9,10,-2.3718598565035487,1.7777777777777777,0.035,0.9958,2.043111111111111,0.11186720522538446
pulmonary hypertension,9,358,-1.74399847461838,1.2222222222222223,0.0836,0.984,1.4756666666666667,0.14532377644418687
PraderWilli_syndrome,9,64,0.04825758122477842,1.8888888888888888,0.6626,0.666,1.8824555555555558,0.13331238678058316
carcinoma,9,183,0.5744447066237873,1.6666666666666667,0.8376,0.4356,1.5841777777777781,0.14359761337815208
asthma,9,415,0.003532155635804356,1.5555555555555556,0.6297,0.6544,1.5550111111111113,0.15413942662247765
cerebrovascular disease,9,348,-0.47847790219708514,1.4444444444444444,0.4437,0.804,1.5176777777777777,0.15305478685025758
FactorVII_deficiency,9,4,-1.8108376677541635,2.0,0.0665,0.9915,2.2487888888888885,0.1373888412634145
beta thalassemia,9,17,0.22273862742350367,2.111111111111111,0.7669,0.6147,2.0834666666666664,0.1241115865901566
huntington disease,9,49,1.672599195983579,2.111111111111111,0.9963,0.0929,1.891155555555556,0.13150523812503057
FragileX_syndrome,9,62,0.7086010064905472,1.8888888888888888,0.8706,0.3917,1.7896111111111113,0.14010391866286737
colorectal neoplasms,9,830,-0.5231779119060656,1.2222222222222223,0.4232,0.8131,1.3042777777777776,0.15684063430087636
cystic fibrosis,9,19,-0.4142879610280272,2.0,0.5115,0.8373,2.0461666666666662,0.1114361772717383
muscular dystrophy duchenne,9,25,0.5086496257180907,2.111111111111111,0.8848,0.5435,2.0567999999999995,0.10677509304059242
