Disease,Drug Targets,Disease genes,Z-score,amspl,p_value_st,p_value_dt,mu,sigma
inflammation,24,611,-6.905140941682991,0.5833333333333334,0.0,1.0,1.1054708333333332,0.07561576286562213
coronary artery disease,24,1110,-4.336937580622251,0.7083333333333334,0.0,1.0,1.047275,0.07815230456188309
coronary heart disease,24,374,-4.75134262872712,0.875,0.0001,0.9999,1.2289208333333332,0.0744885942751193
lung neoplasms,24,463,-1.4095534446089326,1.0,0.1313,0.9546,1.1025999999999998,0.07278901015950141
breast neoplasms,24,1324,-1.5343871557946185,0.8333333333333334,0.1018,0.9624,0.9512791666666666,0.07686836590616021
brain neoplasms,24,42,-2.3854399620944875,1.3333333333333333,0.0156,0.9967,1.5260916666666668,0.08080619776491295
COPD,24,507,-3.0570156124408943,0.9166666666666666,0.0035,0.9996,1.1458083333333333,0.07495600144603351
alpha-Thalassemia,24,37,0.05770284006215545,1.6666666666666667,0.6239,0.5898,1.6621875,0.07762471763680977
hypertension,24,866,-3.696437453373529,0.875,0.0007,1.0,1.1631833333333335,0.07796245357007864
pancreatic neoplasms,24,101,-0.3148822638177322,1.375,0.4863,0.7243,1.398475,0.07455167437943816
Rett_syndrome,24,52,-1.6298682199619179,1.4583333333333333,0.0857,0.9674,1.5917416666666668,0.08185222074975526
RubinsteinTaybi_syndrome,24,10,-3.706902698865533,1.5416666666666667,0.0009,1.0,1.8169291666666665,0.07425673732527201
pulmonary hypertension,24,358,-1.9346787636812162,1.0833333333333333,0.0519,0.9844,1.2248333333333334,0.0731387570155371
PraderWilli_syndrome,24,64,-1.4607095759570266,1.5,0.1112,0.9562,1.6217375,0.08334134451075956
carcinoma,24,183,-0.637971836566141,1.2083333333333333,0.3682,0.8286,1.253225,0.07036622009569334
asthma,24,415,-1.223838437773632,1.1666666666666667,0.1669,0.9317,1.2551583333333334,0.07230665742746883
cerebrovascular disease,24,348,-1.4271420506323182,1.1666666666666667,0.1256,0.9569,1.271116666666667,0.07318822954850353
FactorVII_deficiency,24,4,-1.9637295097149277,1.875,0.0394,0.9886,2.036420833333333,0.08220115475922465
beta thalassemia,24,17,0.4991292501531825,1.9583333333333333,0.7818,0.4152,1.9202625,0.07627449868275474
huntington disease,24,49,0.17202431868182202,1.5833333333333333,0.6632,0.5409,1.5694375,0.08077830762425571
FragileX_syndrome,24,62,1.4693535660424684,1.625,0.9613,0.1076,1.503475,0.08270643826544312
colorectal neoplasms,24,830,-0.3910355244674635,1.125,0.4513,0.7588,1.1524666666666665,0.07024084756512172
cystic fibrosis,24,19,0.5599826860460144,1.9166666666666667,0.7918,0.3852,1.8715416666666669,0.08058284858523623
muscular dystrophy duchenne,24,25,1.8496040294060692,2.0,0.9855,0.0531,1.8538583333333332,0.07901240716565412
