Disease,Drug Targets,Disease genes,Z-score,amspl,p_value_st,p_value_dt,mu,sigma
COPD,23,514,-3.133528947612573,0.47313654317094345,0.0032,0.9968,0.5499631736717601,0.024517606757502787
inflammation,23,617,-7.248750205504678,0.35971046706291426,0.0,1.0,0.5364188134776092,0.024377767395061176
pulmonary hypertension,23,357,-4.236275633094003,0.48782323011139067,0.0,1.0,0.585665528035696,0.02309630118492676
coronary artery disease,23,1088,-5.279096879505854,0.35586967085106125,0.0,1.0,0.48990996615539095,0.025390762542110507
cerebrovascular disease,23,356,-2.1127886903355906,0.5362179578166766,0.0214,0.9786,0.5857758702944335,0.02345616137782582
hypertension,23,819,-4.113693136873292,0.40761383267506346,0.0,1.0,0.5136223939503709,0.025769681341832346
coronary heart disease,23,370,-4.592682889336637,0.46538387565767253,0.0002,0.9998,0.5791454875038659,0.024770186530911335
carcinoma,23,179,-1.4502753473879553,0.6091170229447571,0.077,0.923,0.641000875422553,0.02198468900076175
cystic fibrosis,23,18,0.128713005216559,0.8096093671396603,0.5228,0.4772,0.8072649657733109,0.01821417627849608
beta thalassemia,23,17,0.2246455951728868,0.814294056327512,0.5588,0.4412,0.8102733383399204,0.017898049523282125
muscular dystrophy duchenne,23,24,2.5567470652643753,0.8378814301318499,0.9986,0.0014,0.7898494495170431,0.01878636383996013
huntington disease,23,47,-0.14396620855892747,0.7394955092513955,0.426,0.574,0.7425820319482304,0.02143921638091545
brain neoplasms,23,42,-5.681315871099955,0.6388860061289353,0.0,1.0,0.7501312109029412,0.019580887121572382
breast neoplasms,23,1280,-2.5093714482881526,0.4121562712505188,0.0102,0.9898,0.4739901461686073,0.024641180547531314
pancreatic neoplasms,23,104,-2.5157097841322082,0.6289012428501239,0.0106,0.9894,0.6836211979623967,0.021751298761652823
colorectal neoplasms,23,776,-0.5733526712549956,0.5109142840744677,0.2732,0.7268,0.5243034823224407,0.02335246510435851
lung neoplasms,23,1315,-7.529160760575646,0.29281152791045983,0.0,1.0,0.47910307023133064,0.024742670298173813
asthma,23,394,0.21556759672614864,0.5726205447325471,0.5624,0.4376,0.5675560815853825,0.02349361974656301
alpha-Thalassemia,23,38,-1.6319855956866498,0.7273153822393923,0.0616,0.9384,0.7598337624549169,0.019925653940494868
FragileX_syndrome,23,60,-0.27619471259552275,0.7205546573972265,0.3674,0.6326,0.7263396558308131,0.020945362708874586
PraderWilli_syndrome,23,63,-1.5666099059449958,0.6888283221477076,0.066,0.934,0.7228825545141547,0.021737531619848423
Rett_syndrome,23,52,-1.618011596196956,0.6982367572502047,0.0606,0.9394,0.7339917836420343,0.022098127402714385
RubinsteinTaybi_syndrome,23,10,-3.8387929586731526,0.77228363696641,0.0008,0.9992,0.8333956999777884,0.015919603810178207
FactorVII_deficiency,23,4,-2.271450377190672,0.8463525643677761,0.0212,0.9788,0.8761197704221391,0.013104933461579317
FactorIX_deficiency,23,43,-0.5028424600418074,0.740318270384548,0.293,0.707,0.7506989127674002,0.02064392569789974
