Disease,Drug Targets,Disease genes,Z-score,amspl,p_value_st,p_value_dt,mu,sigma
COPD,23,514,-3.2393032286881405,1.0,0.0022,0.9998,1.2726173913043477,0.08415926884830502
inflammation,23,617,-7.486585838724905,0.6086956521739131,0.0,1.0,1.2249217391304348,0.08231069545333305
pulmonary hypertension,23,357,-2.4775177873895515,1.1304347826086956,0.015,0.9964,1.3300608695652176,0.08057503682621751
coronary artery disease,23,1088,-5.855424597494114,0.6521739130434783,0.0,1.0,1.1490521739130435,0.08485776780085412
cerebrovascular disease,23,356,-1.5430372595749358,1.2608695652173914,0.0976,0.9648,1.397295652173913,0.08841399396544923
hypertension,23,819,-3.1344392898343103,0.9565217391304348,0.0038,0.9986,1.227208695652174,0.08635897252808107
coronary heart disease,23,370,-5.215106980514433,0.9130434782608695,0.0,1.0,1.372982608695652,0.0881936136982971
carcinoma,23,179,-1.990543779860115,1.2608695652173914,0.039,0.9894,1.4300260869565216,0.08498005592774133
cystic fibrosis,23,18,0.028034233947819343,2.130434782608696,0.604,0.6038,2.1280608695652177,0.08467907658531798
beta thalassemia,23,17,-1.2321950276712479,2.0434782608695654,0.1642,0.929,2.1461130434782607,0.0832942677935221
muscular dystrophy duchenne,23,24,0.5105074959001042,2.0869565217391304,0.7758,0.4116,2.044486956521739,0.08319087488129973
huntington disease,23,47,-1.3319452554953757,1.6956521739130435,0.1318,0.942,1.8228260869565216,0.09547983486466922
brain neoplasms,23,42,-3.338307621891931,1.434782608695652,0.0006,1.0,1.7404434782608695,0.09156162468693917
breast neoplasms,23,1280,-3.296346967122086,0.782608695652174,0.002,0.9998,1.0579478260869564,0.08352856455374005
pancreatic neoplasms,23,104,-3.031920933385711,1.3043478260869565,0.0012,0.9994,1.5765130434782608,0.08976659463457068
colorectal neoplasms,23,776,-0.6330956941746102,1.173913043478261,0.3502,0.8224,1.2235304347826088,0.07837265639444259
lung neoplasms,23,1315,-7.547262630067484,0.43478260869565216,0.0,1.0,1.0651565217391303,0.08352351626563732
asthma,23,394,-1.3886175908424951,1.2173913043478262,0.1284,0.9504,1.3381652173913043,0.08697420646256024
alpha-Thalassemia,23,38,-2.8197314512653087,1.608695652173913,0.006,0.9974,1.8591565217391304,0.08882436994233159
FragileX_syndrome,23,60,-0.5904832369499703,1.6956521739130435,0.356,0.7978,1.7502869565217392,0.09252554380866315
PraderWilli_syndrome,23,63,-2.115633179486736,1.608695652173913,0.0294,0.988,1.8056260869565217,0.09308344976437977
Rett_syndrome,23,52,-2.5748100301946253,1.565217391304348,0.0096,0.9968,1.8083565217391304,0.09442992981365855
RubinsteinTaybi_syndrome,23,10,-2.7585824747968775,1.8695652173913044,0.006,0.9984,2.101495652173913,0.08407594730322003
FactorVII_deficiency,23,4,-1.5722694007330653,2.4347826086956523,0.0886,0.9634,2.597895652173913,0.10374369901380114
FactorIX_deficiency,23,43,1.0603475167838123,2.0,0.9106,0.2,1.901704347826087,0.09270135556318164
