Disease,Drug Targets,Disease genes,Z-score,amspl,p_value_st,p_value_dt,mu,sigma
Inflammation,23,122.0,-1.228006550126189,1.5217391304347827,0.1576,0.9267,1.6384043478260868,0.09500374194202438
Coronary Artery Disease,23,62.0,-0.9286538064008288,1.7391304347826086,0.2352,0.8767,1.826608695652174,0.09419900103420001
Coronary heart disease,23,28.0,-0.938137674698711,2.0,0.2444,0.8849,2.0785695652173914,0.0837505702375982
Lung Neoplasms,23,234.0,-3.4981520254734955,1.0869565217391304,0.0006,1.0,1.382995652173913,0.08462729128952366
Triple Negative Breast Neoplasms,23,3.0,-1.3459621380045292,2.217391304347826,0.1223,0.9496,2.3504652173913043,0.09886898693953482
Brain Neoplasms,23,39.0,-3.5211211252300614,1.434782608695652,0.0009,0.9999,1.7535260869565217,0.09052329270270237
Pulmonary Emphysema,23,17.0,-2.202763088744547,1.826086956521739,0.0269,0.9912,2.0238347826086955,0.08977262561615822
alpha-Thalassemia,23,4.0,0.8486056873274799,2.4347826086956523,0.8651,0.2648,2.3546173913043478,0.09446698105897625
Essential Hypertension,23,12.0,-1.9346776678379487,2.0869565217391304,0.0447,0.9848,2.2545652173913044,0.08663391242815194
Pancreatic Neoplasm,23,99.0,-3.0506452270720574,1.3043478260869565,0.0027,0.9995,1.5850652173913045,0.09201902234098008
"Rett Syndrome, Atypical",23,5.0,-1.0446874584929926,2.260869565217391,0.2082,0.9024,2.3608956521739133,0.09574737989179478
Rubinstein-Taybi Syndrome,23,2.0,-2.9276783698234903,2.0,0.0036,0.9994,2.2786565217391304,0.09518003227790714
Pulmonary Hypertension,23,38.0,-1.5245692584592354,1.826086956521739,0.101,0.9579,1.9612130434782609,0.08863230463736581
Prader-Willi Syndrome,23,6.0,0.7406010413445707,2.3043478260869565,0.8454,0.3051,2.2393869565217392,0.08771371620985031
Carcinoma,23,161.0,-2.1047295596016,1.2608695652173914,0.0293,0.9914,1.4418565217391304,0.08599059945544628
Asthma,23,96.0,-1.1176546177372018,1.608695652173913,0.1872,0.911,1.710765217391304,0.09132478280637395
Cerebrovascular accident,23,73.0,-1.1876227352126731,1.6956521739130435,0.1668,0.9202,1.8052173913043479,0.09225591102521633
Factor VII Deficiency,23,1.0,1.436042687148196,3.391304347826087,0.9431,0.0945,3.1850434782608694,0.1436314333906231
beta Thalassemia,23,11.0,-1.6550306441855813,2.0434782608695654,0.0795,0.9709,2.1853652173913045,0.08573071261261135
Huntington Disease,23,21.0,-1.8416195736056893,1.9130434782608696,0.058,0.9787,2.0702434782608696,0.08535964878578024
Fragile X Syndrome,23,2.0,-0.603950438040968,2.347826086956522,0.3455,0.7727,2.4207869565217393,0.12080605455288719
Colorectal Neoplasms,23,257.0,-1.42423555832802,1.3043478260869565,0.1172,0.9525,1.429591304347826,0.08793733419203424
Cystic Fibrosis,23,11.0,0.09709115677006744,2.1739130434782608,0.6305,0.5725,2.165826086956522,0.08329241087208776
"Muscular Dystrophy, Duchenne",23,6.0,-0.0343962109759617,2.347826086956522,0.5857,0.6073,2.351,0.09227507778970664
,23,,,,,,,
