Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Huntington Disease,C0020179,HTT,3064,P42858,huntingtin,,188,0.548,0.654,1,1,limited,0.987,1305,21,1993,2020
Huntington Disease,C0020179,CNR1,1268,P21554,cannabinoid receptor 1,G-protein coupled receptor,393,0.446,0.808,0.50652,0.36,,1,7,0,2009,2019
Huntington Disease,C0020179,OGG1,4968,O15527,8-oxoguanine DNA glycosylase,,313,0.453,0.808,3.93E-12,0.36,,1,6,1,2007,2013
Huntington Disease,C0020179,GDNF,2668,P39905,glial cell derived neurotrophic factor,Signaling,409,0.434,0.885,0.2035,0.34,,1,5,0,2005,2016
Huntington Disease,C0020179,SLC2A3,6515,P11169,solute carrier family 2 member 3,Transporter,144,0.534,0.769,0.010333,0.33,,1,3,0,2014,2018
Huntington Disease,C0020179,FAAH,2166,O00519,fatty acid amide hydrolase,,177,0.545,0.692,4.44E-11,0.32,,1,3,0,2007,2018
Huntington Disease,C0020179,MAOA,4128,P21397,monoamine oxidase A,,300,0.465,0.769,0.99928,0.32,,1,3,0,2011,2016
Huntington Disease,C0020179,AIFM1,9131,O95831,apoptosis inducing factor mitochondria associated 1,Enzyme,205,0.527,0.769,0.99795,0.32,,1,3,0,2003,2012
Huntington Disease,C0020179,SLC29A1,2030,Q99808,solute carrier family 29 member 1 (Augustine blood group),Transporter,91,0.587,0.731,0.90069,0.32,,1,2,0,2016,2017
Huntington Disease,C0020179,RCAN1,1827,P53805,regulator of calcineurin 1,Signaling,110,0.572,0.808,0.016675,0.31,,1,1,0,2009,2009
Huntington Disease,C0020179,GAP43,2596,P17677,growth associated protein 43,,109,0.564,0.731,0.021461,0.3,limited,1,1,0,2012,2012
Huntington Disease,C0020179,IP6K2,51447,Q9UHH9,inositol hexakisphosphate kinase 2,Kinase,18,0.821,0.231,0.973,0.3,,1,1,0,2011,2011
Huntington Disease,C0020179,GAL,51083,P22466,galanin and GMAP prepropeptide,,226,0.493,0.846,4.39E-06,0.3,limited,1,1,0,2012,2012
Huntington Disease,C0020179,NRSN1,140767,Q8IZ57,neurensin 1,,76,0.604,0.731,0.00030819,0.3,limited,1,1,0,2012,2012
Huntington Disease,C0020179,MAOB,4129,P27338,monoamine oxidase B,,152,0.533,0.808,0.99903,0.3,,1,1,0,2011,2011
Huntington Disease,C0020179,RELN,5649,P78509,reelin,,178,0.515,0.731,1,0.3,limited,1,1,0,2016,2016
Huntington Disease,C0020179,CNTF,1270,P26441,ciliary neurotrophic factor,,114,0.561,0.615,2.34E-05,0.3,,0.846,13,0,1997,2008
Huntington Disease,C0020179,DIABLO,56616,Q9NR28,diablo IAP-binding mitochondrial protein,,108,0.555,0.692,2.57E-06,0.3,,1,1,0,2003,2003
Huntington Disease,C0020179,PPARGC1A,10891,Q9UBK2,PPARG coactivator 1 alpha,Transcription factor,350,0.453,0.885,0.9973,0.3,,0.966,29,1,2006,2019
