Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Rickets,C0035579,VDR,7421,P11473,vitamin D receptor,Nuclear receptor,852,0.352,0.885,0.000016787,0.7,,0.966,59,6,1989,2019
Rickets,C0035579,CYP27B1,1594,O15528,cytochrome P450 family 27 subfamily B member 1,Enzyme,229,0.502,0.769,1.9194E-07,0.7,,1,17,0,1998,2018
Rickets,C0035579,PTH,5741,P01270,parathyroid hormone,,528,0.397,0.846,0.012093,0.4,,1,15,0,1999,2019
Rickets,C0035579,PTH1R,5745,Q03431,parathyroid hormone 1 receptor,G-protein coupled receptor,187,0.544,0.731,0.57253,0.3,,1,1,0,1999,1999
Rickets,C0035579,FAM20C,56975,Q8IXL6,FAM20C golgi associated secretory pathway kinase,,116,0.578,0.731,0.31465,0.22,,1,2,0,2013,2016
Rickets,C0035579,PHEX,5251,P78562,phosphate regulating endopeptidase homolog X-linked,Enzyme,142,0.548,0.808,0.99996,0.2,,0.917,12,0,1989,2019
Rickets,C0035579,CYP2R1,120227,Q6VVX0,cytochrome P450 family 2 subfamily R member 1,,139,0.563,0.731,3.793E-10,0.15,,1,5,3,2012,2017
Rickets,C0035579,DMP1,1758,Q13316,dentin matrix acidic phosphoprotein 1,,134,0.556,0.615,1.4881E-07,0.15,,1,5,0,2006,2014
Rickets,C0035579,SLC34A3,142680,Q8N130,solute carrier family 34 member 3,Transporter,58,0.695,0.308,5.8863E-14,0.13,,1,3,0,2007,2019
Rickets,C0035579,CLCN5,1184,P51795,chloride voltage-gated channel 5,Ion channel,101,0.593,0.577,0.99242,0.13,,1,3,2,2007,2016
Rickets,C0035579,MMP13,4322,P45452,matrix metallopeptidase 13,Enzyme,328,0.452,0.923,7.8767E-18,0.12,,1,2,1,2014,2018
Rickets,C0035579,SLC34A1,6569,Q06495,solute carrier family 34 member 1,Transporter,73,0.619,0.423,8.9128E-27,0.11,,1,1,0,2009,2009
Rickets,C0035579,ALPL,249,P05186,"alkaline phosphatase, biomineralization associated",Enzyme,190,0.546,0.769,0.0003636,0.11,,1,1,0,2011,2011
Rickets,C0035579,HLA-DQA1,3117,P01909,"major histocompatibility complex, class II, DQ alpha 1",Immune response,427,0.416,0.846,0.023947,0.1,,,0,0,,
Rickets,C0035579,PSAT1,29968,Q9Y617,phosphoserine aminotransferase 1,,285,0.478,0.846,1.0621E-08,0.1,,,0,0,,
Rickets,C0035579,HLA-DQB1,3119,P01920,"major histocompatibility complex, class II, DQ beta 1",Immune response,504,0.407,0.885,0.0089259,0.1,,,0,0,,
Rickets,C0035579,HNF4A,3172,P41235,hepatocyte nuclear factor 4 alpha,Nuclear receptor,340,0.461,0.808,0.15285,0.1,,,0,0,,
Rickets,C0035579,SLC4A1,6521,P02730,solute carrier family 4 member 1 (Diego blood group),Transporter,193,0.522,0.731,0.84602,0.1,,,0,0,,
Rickets,C0035579,BAAT,570,Q14032,bile acid-CoA:amino acid N-acyltransferase,,98,0.578,0.654,7.8651E-08,0.1,,,0,0,,
Rickets,C0035579,OCRL,4952,Q01968,OCRL inositol polyphosphate-5-phosphatase,Enzyme,184,0.553,0.731,0.99999,0.1,,,0,0,,
Rickets,C0035579,ADAMTS2,9509,O95450,ADAM metallopeptidase with thrombospondin type 1 motif 2,Enzyme,138,0.579,0.808,0.9661,0.1,,,0,0,,
Rickets,C0035579,ATP7A,538,Q04656,ATPase copper transporting alpha,Transporter,348,0.494,0.769,0.99983,0.1,,,0,0,,
Rickets,C0035579,EHHADH,1962,Q08426,enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase,Enzyme,50,0.67,0.5,5.2377E-10,0.1,,,0,0,,
Rickets,C0035579,RNU4ATAC,100151683,,"RNA, U4atac small nuclear (U12-dependent splicing)",,199,0.556,0.808,,0.1,,,0,0,,
Rickets,C0035579,FGF23,8074,Q9GZV9,fibroblast growth factor 23,Signaling,305,0.46,0.731,0.031014,0.1,,1,24,0,2003,2019
Rickets,C0035579,CTNS,1497,O60931,"cystinosin, lysosomal cystine transporter",,88,0.628,0.538,0.00030924,0.1,,,0,0,,
Rickets,C0035579,HSD3B7,80270,Q9H2F3,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",Enzyme,42,0.7,0.385,2.694E-08,0.1,,,0,0,,
Rickets,C0035579,EPHX1,2052,P07099,epoxide hydrolase 1,,196,0.5,0.846,3.2154E-09,0.1,,,0,0,,
Rickets,C0035579,TJP2,9414,Q9UDY2,tight junction protein 2,Cell-cell junction,37,0.663,0.5,3.236E-11,0.1,,,0,0,,
Rickets,C0035579,FARSB,10056,Q9NSD9,phenylalanyl-tRNA synthetase subunit beta,Enzyme,53,0.682,0.5,0.0032955,0.1,,,0,0,,
Rickets,C0035579,PHGDH,26227,O43175,phosphoglycerate dehydrogenase,Enzyme,288,0.484,0.885,0.00013308,0.1,,,0,0,,
