Disease,Disease_id,Gene,Gene_id,UniProt,Gene_Full_Name,Protein_Class,N_diseases_g,DSI_g,DPI_g,pLI,Score_gda,EL_gda,EI_gda,N_PMIDs,N_SNPs_gda,First_Ref,Last_Ref
Vitamin D Deficiency,C0042870,VDR,7421,P11473,vitamin D receptor,Nuclear receptor,852,0.352,0.885,0.000016787,0.4,,0.933,75,2,1998,2019
Vitamin D Deficiency,C0042870,LRP2,4036,P98164,LDL receptor related protein 2,,254,0.491,0.846,0.99999,0.33,,1,3,0,1999,2018
Vitamin D Deficiency,C0042870,RETN,56729,Q9HD89,resistin,,302,0.454,0.808,0.036545,0.22,,1,3,0,2012,2019
Vitamin D Deficiency,C0042870,BGLAP,632,P02818,bone gamma-carboxyglutamate protein,,274,0.462,0.846,4.6155E-08,0.21,,1,2,0,1987,2017
Vitamin D Deficiency,C0042870,GC,2638,P02774,GC vitamin D binding protein,Transporter,219,0.489,0.885,2.7301E-11,0.2,,1,12,4,2010,2019
Vitamin D Deficiency,C0042870,NADSYN1,55191,Q6IA69,NAD synthetase 1,,14,0.78,0.231,1.2527E-16,0.14,,0.8,5,1,2010,2018
Vitamin D Deficiency,C0042870,GATAD2B,57459,Q8WXI9,GATA zinc finger domain containing 2B,Nucleic acid binding,136,0.593,0.654,0.99998,0.1,,,0,1,,
Vitamin D Deficiency,C0042870,APOL1,8542,O14791,apolipoprotein L1,Transporter,115,0.547,0.615,5.1357E-06,0.1,,1,1,2,2010,2010
Vitamin D Deficiency,C0042870,SLC25A42,284439,Q86VD7,solute carrier family 25 member 42,Transporter,35,0.76,0.269,0.48948,0.1,,,0,1,,
Vitamin D Deficiency,C0042870,CYP27B1,1594,O15528,cytochrome P450 family 27 subfamily B member 1,Enzyme,229,0.502,0.769,1.9194E-07,0.1,,1,14,1,2003,2019
Vitamin D Deficiency,C0042870,CYP27A1,1593,Q02318,cytochrome P450 family 27 subfamily A member 1,Enzyme,167,0.538,0.731,5.2916E-19,0.1,,,0,1,,
Vitamin D Deficiency,C0042870,TMEM94,9772,Q12767,transmembrane protein 94,,103,0.628,0.654,2.7548E-14,0.1,,,0,2,,
Vitamin D Deficiency,C0042870,IGHMBP2,3508,P38935,immunoglobulin mu DNA binding protein 2,,102,0.636,0.615,3.0212E-16,0.1,,,0,1,,
